"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"33033","25.47858","-80.4057","Homestead","FL","Florida","TRUE","","71458","1235.6","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33034","25.4195","-80.86342","Homestead","FL","Florida","TRUE","","23823","7.8","12086","Miami-Dade","{""12086"": 52.45, ""12087"": 47.55}","Miami-Dade|Monroe","12086|12087","FALSE","FALSE","America/New_York"
"33035","25.4216","-80.4036","Homestead","FL","Florida","TRUE","","17202","225.3","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33036","24.9227","-80.6385","Islamorada","FL","Florida","TRUE","","3777","249.5","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33037","25.19779","-80.38634","Key Largo","FL","Florida","TRUE","","14770","173.3","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33040","24.5855","-81.74904","Key West","FL","Florida","TRUE","","35429","771.8","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33042","24.67481","-81.50717","Summerland Key","FL","Florida","TRUE","","6441","90.1","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33043","24.70563","-81.3587","Big Pine Key","FL","Florida","TRUE","","4298","99.7","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33050","24.72843","-81.03405","Marathon","FL","Florida","TRUE","","10561","449.2","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33051","24.72328","-81.02155","Key Colony Beach","FL","Florida","TRUE","","511","449.8","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33054","25.90775","-80.25753","Opa Locka","FL","Florida","TRUE","","31055","1427.7","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33055","25.94812","-80.27809","Opa Locka","FL","Florida","TRUE","","37659","2421.4","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33056","25.94922","-80.24562","Miami Gardens","FL","Florida","TRUE","","37890","2387.2","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33060","26.23513","-80.12084","Pompano Beach","FL","Florida","TRUE","","37233","2067.5","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33062","26.24101","-80.09399","Pompano Beach","FL","Florida","TRUE","","24920","2469.0","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33063","26.25138","-80.21014","Pompano Beach","FL","Florida","TRUE","","55466","2610.3","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33064","26.27806","-80.11524","Pompano Beach","FL","Florida","TRUE","","64563","2442.1","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33065","26.27318","-80.26029","Coral Springs","FL","Florida","TRUE","","58916","2651.5","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33066","26.25347","-80.17753","Pompano Beach","FL","Florida","TRUE","","16719","2127.1","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33067","26.307","-80.2257","Pompano Beach","FL","Florida","TRUE","","27188","1062.0","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33068","26.21644","-80.21535","Pompano Beach","FL","Florida","TRUE","","54439","3265.5","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33069","26.23565","-80.15808","Pompano Beach","FL","Florida","TRUE","","29145","1199.9","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33070","25.00873","-80.52501","Tavernier","FL","Florida","TRUE","","5768","526.3","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33071","26.24395","-80.26627","Coral Springs","FL","Florida","TRUE","","42255","2177.2","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33073","26.29818","-80.1827","Pompano Beach","FL","Florida","TRUE","","33838","1604.6","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33076","26.31788","-80.27431","Pompano Beach","FL","Florida","TRUE","","44922","1601.9","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33101","25.77976","-80.19877","Miami","FL","Florida","TRUE","","0","0.0","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33109","25.7616","-80.14197","Miami Beach","FL","Florida","TRUE","","1083","1324.9","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33122","25.80523","-80.31706","Miami","FL","Florida","TRUE","","1687","271.9","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33125","25.7839","-80.23738","Miami","FL","Florida","TRUE","","56897","5606.8","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33126","25.78061","-80.30054","Miami","FL","Florida","TRUE","","47307","3390.5","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33127","25.81307","-80.20553","Miami","FL","Florida","TRUE","","26786","3139.5","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33128","25.77661","-80.20407","Miami","FL","Florida","TRUE","","9475","8515.5","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33129","25.7527","-80.20046","Miami","FL","Florida","TRUE","","14702","4106.3","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33130","25.76805","-80.20291","Miami","FL","Florida","TRUE","","34964","12342.6","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33131","25.76417","-80.18459","Miami","FL","Florida","TRUE","","23095","17793.2","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
